valsčius,name tag,gubernija,data
Puponys,Puponių v.,Kauno,1905-07-10
Maišiagala,Maišiagalos v.,Vilniaus,1905-12-14
Nociūnai,Nociūnų v.,Kauno,1905-?-?
Endriejavas,Endriejavo v.,Kauno,1905-?-?
Veiveriai ir Gudeliai,Veiverių ir Gudelių v.,Suvalkų,1905-03-?
Alsėdžiai,Alsėdžių v.,Kauno,1905-03-28
Paežeriai,Paežerių v.,Suvalkų,1905-04-02
Pajevonys,Pajevonių v.,Suvalkų,1905-03-20
Ylakiai,Ylakių v.,Kauno,1905-04-06
Plungė,Plungės v.,Kauno,1905-04-12
Dabravolė,Dabravolės v.,Suvalkų,1905-04-30
Garliava,Garliavos v.,Suvalkų,1905-03-?
Kriukai,Kriukų v.,Kauno,1905-04-?
Kruonis ir Jieznas,Kruonio ir Jiezno v.,Vilniaus,1905-05-?
Sintautai,Sintautų v.,Suvalkų,1905-05-12
Mosėdis ir Gintališkės,Mosedžio ir Gintališkės v.,Kauno,1905-? (iki 08)
Pandėlis,Pandėlio v.,Kauno,1905-? (iki 08)
Tauragė,Tauragės v.,Kauno,1905-? (iki 08)
Kirsna,Kirsnos v.,Suvalkų,1905-? (iki 08)
Kvėdarna,Kvėdarna v.,Kauno,1905-? (iki 08)
Žarėnai,Žarėnų v.,Kauno,1905-? (iki 08)
Ūdrija,Ūdrijos v.,Suvalkų,1905-? (iki 08)
Krokialaukis,Krokialaukio v.,Suvalkų,1905-? (iki 08)
Bartninkai,Bartninkai v.,Suvalkų,1905-03-29
Skapiškis,Skapiškio v.,Kauno,1905-05-15
Kretinga,Kretingos v.,Kauno,1905-06-?
Šimkaičiai,Šimkaičių v.,Kauno,1905-06-18
Rietavas,Rietavo v.,Kauno,1905-07-15
Anykščiai,Anykščių v.,Kauno,1905-07-18
Akmenė,Akmenės v.,Kauno,1905-?-?
Girsūdai,Girsūdų v.,Kauno,1905-07-23
Pumpėnai,Pumpėnų m.,Kauno,1905-07-24
Krikliniai,Pumpėnų v.,Kauno,1905-07-10
Krekenava,Krekenavos v.,Kauno,1905-10-02
Krivuliai,Krekenavos v.,Kauno,1905-11-30
Vabalninkas ,Vabalninko k. ,Kauno,1905-10-15
Jonava,Jonavos v.,Kauno,1905-04-29
Joniškis,Joniškis v.,Kauno,1905-11-?
Čypėnai,Čypėnų v.,Kauno,1905-03-28
Kupiškis,Kupiškio v.,Kauno,1905-11-11
Pašušvys,Pašušvio v.,Kauno,1905-11-19
Veliuona,Veliuona v.,Kauno,1905-?-?
Paliepiai,Paliepių k. ,Kauno,1905-?-?
Pasvalys,Pasvalys v.,Kauno,1905-11-17
Švėkšna,Švėkšnos v.,Kauno,1905-11-18
Taujėnai,Taujėnų v.,Kauno,1905-11-?
Šiluva,Šiluvos v.,Kauno,1905-12-03
Kruopiai,Kruopių v.,Kauno,1905-12-01
Vilkija,Vilkijos v.,Kauno,1905-11-?
Gruzdžiai,Gruzdžių v.,Kauno,1905-?(iki 08)
Krakės,Krakių v.,Kauno,1905-12-?
Betygala,Betygalos v.,Kauno,1905-12-?
Gelvonai,Gelvonų v.,Vilniaus,1905-?(iki 08)
Virbališkiai,Virbališkių v.,Kauno,1905-?(iki 08)
Žagarė,Žagarės v.,Kauno,1905-?(iki 08)
Piniava,Piniavos v.,Kauno,1905-05-03
Marijampolė,Suvalkų gub. Lietuviai,Suvalkų,1905-?(iki 08)
