valsčius,gubernija,data
Puponių,Kauno,1905-07-10
Maišiagalos,Vilniaus,1905-12-14
Nociūnų,Kauno,1905-?-?
Endriejavo,Kauno,1905-?-?
Veiverių ir Gudelių,Suvalkų,1905-03-?
Alsėdžių,Kauno,1905-03-28
Paežerių,Suvalkų,1907-03-01
Paežerių,Suvalkų,1905-04-02
Pajevonių,Suvalkų,1907-?-?
Pajevonių,Suvalkų,1905-03-20
Ylakių,Kauno,1905-04-06
Plungės,Kauno,1905-04-12
Dabravolės,Suvalkų,1905-04-30
Garliavos,Suvalkų,1905-03-?
Kriukų,Kauno,1905-04-?
Kruonio ir Jiezno,Vilniaus,1905-05-?
Sintautų,Suvalkų,1905-05-12
Mosedžio ir Gintališkės,Kauno,1905-? (iki 08)
Pandėlio,Kauno,1905-? (iki 08)
Tauragės,Kauno,1905-? (iki 08)
Kirsnos,Suvalkų,1905-? (iki 08)
Kvėdarna,Kauno,1905-? (iki 08)
Žarėnų,Kauno,1905-? (iki 08)
Ūdrijos,Suvalkų,1905-? (iki 08)
Krokialaukio,Suvalkų,1905-? (iki 08)
Bartninkai,Suvalkų,1907-04-07
Bartninkai,Suvalkų,1905-03-29
Skapiškio,Kauno,1905-05-15
Kretingos,Kauno,1905-06-?
Šimkaičių,Kauno,1905-06-18
Rietavo,Kauno,1905-07-15
Anykščių,Kauno,1905-07-18
Akmenės,Kauno,1905-?-?
Girsūdų,Kauno,1905-07-23
Pumpėnų m.,Kauno,1905-07-24
Pumpėnų,Kauno,1905-07-10
Krekenavos,Kauno,1905-10-02
Krekenavos,Kauno,1905-11-30
Vabalninkas (Čipėnų ),Kauno,1905-10-15
Jonavos,Kauno,1905-04-29
Joniškis,Kauno,1905-11-?
Čipėnų,Kauno,1905-03-28
Kupiškio,Kauno,1905-11-11
Pašušvio,Kauno,1905-11-19
Veliuona,Kauno,1905-?-?
Paliepių k. Betygos,Kauno,1905-?-?
Pasvalys,Kauno,1905-11-17
Švėkšnos,Kauno,1905-11-18
Taujėnai,Kauno,1905-11-?
Šiluvos,Kauno,1905-12-03
Kruopių,Kauno,1905-12-01
"Vilkijos, Vilmatiškių, Zauniškių, Paliesių k.",Kauno,1905-11-?
Salų,Vilniaus,1905-12-14
Solau; Kovalai (Solų),Vilniaus,1905-12-15
Zaozerskas; Kušlevskas,Vilniaus,1905-12-17
Zabolockasl Gaucevičiai,Vilniaus,1905-12-19
Župranai,Vilniaus,1905-12-20
Gruzdžių,Kauno,1905-?(iki 08)
Krakiai,Kauno,1905-12-?
Betygala,Kauno,1905-12-?
Gelvonų,Vilniaus,1905-?(iki 08)
Virbališkių,Kauno,1905-?(iki 08)
Gižų,Suvalkų,1906-?-?
Žagarės,Kauno,1905-?(iki 08)
Šiauliai,Kauno,1906-06-26
Piniavos,Kauno,1905-05-03
Suvalkų gub. Lietuviai,Suvalkų,1905-?(iki 08)
Rokiškis,Kauno,1906-06-?
Biržų apygardos,Kauno,1907-?-?
Antanavas,Suvalkų,1907-?-?
Krosnos,Suvalkų,1907-?-?
Valsčionys,Suvalkų,1907-03-10
Kalvarija,Suvalkų,1907-03-?
Ludvinava,Suvalkų,1907-?-?
